movie,year,rating,genre,runtime,imdb_rating,metascore,votes,descriptions
HIT: The 2nd Case,2022,7.2,Action|Crime|Drama,150,7.2,,6532,"Krishna Dev aka KD, a laid back cop, works in AP HIT, has to take up a gruesome murder case. As KD unravels the layers of the crime, the stakes rise unbelievably high and the threat comes unusually close."
The Last Heist,2022,4.7,Crime,86,4.7,,3730,"The four thieves bounded by honor meet back at the local boozer, the place where it all began. Beneath the banter lies a dark secret that test the loyalty of these four friends to the limit to see if there really is honor among thieves."
Will-o'-the-Wisp,2022,6.1,Comedy|Fantasy|Musical,67,6.1,72,816,"2069, an erotic year if ever there was one, but a fateful year for a king without a crown."
County Line: All In,2022,5.4,Action|Crime|Mystery,86,5.4,,241,"Sheriff Rockwell teams up with the new sheriff of York County, a young woman, to solve a murder that happened on the county line."
Continue/I,2022,7.3,Drama,115,7.3,,49,"A girl suffering from depression is forced to get her life together when she is taken involuntarily to a mental institution after trying to follow in her father's footsteps, but failing in ...                See full summary »"
Tad the Lost Explorer and the Emerald Tablet,2022,6,Animation|Adventure|Comedy,90,6,,1503,"Tad accidentally unleashes an ancient spell, endangering the lives of his friends Mummy, Jeff, and Belzoni. With everyone against him and only helped by Sara, he sets off on an adventure to end the Curse of the Mummy."
The Barn Part II,2022,5.4,Horror,94,5.4,,234,"The Halloween ban is now lifted in Helen's Valley, and the sorority girls of Gamma Tau Psi place Michelle in charge of their annual haunted house. Unfortunately for Michelle some uninvited trick or treaters from her past come knocking..."
Shark Side of the Moon,2022,2.9,Action|Horror,88,2.9,,782,"Decades ago, the USSR developed unkillable sharks and launched them to the moon. Today, a team of American astronauts will endure the fight of their lives."
Prisoners of Paradise,2022,,Drama|Romance,,,,,17-year-old orphan Lucy Gladwell who is sent from England to live under the guardianship of her uncle George Huyton.
The Perfumier,2022,3.6,Crime|Drama|Mystery,96,3.6,,1567,"A police detective tries to get back her boyfriend as well as her sense of smell, as she gets help from a perfume maker who uses deadly methods to find the perfect fragrance."
Beyond the Sky,2022,6,Romance|Thriller,112,6,,432,"An author, whose marriage is on the rocks, meets his literary idol, his neighbor. He soon begins to have an affair with his idol's daughter. But when their secret is discovered, more revelations are yet to explode."
My Neighbor Adolf,2022,6.5,Comedy|Drama,96,6.5,,1086,"South America, 1960. A lonely and grumpy Holocaust survivor convinces himself that his new neighbor is none other than Adolf Hitler. Not being taken seriously, he starts an independent ...                See full summary »"
A Violent Man,2022,5,Crime|Drama,105,5,,785,A prisoner's life is disrupted when his estranged daughter requests to meet him and a 19-year-old serving his first sentence becomes his new cellmate.
Love Today,2022,8.1,Comedy|Drama|Romance,154,8.1,,14540,"Two young lovers, who are made to exchange their phones for a day and what happens due to that."
Doll Fluids,2022,7.6,Horror,58,7.6,,12,Two tortured souls meet and end in pain and mutilation.
CBI 5,2022,5.6,Crime|Mystery|Thriller,162,5.6,,3521,"A series of murders is happening in the city. With the police failing to solve the case, a team of CBI Officers under CBI officer Sethurama Iyer take up the investigation to resolve the mystery."
