movie,year,rating,genre,runtime,imdb_rating,metascore,votes,descriptions
Dark Nature,2022,4.4,Horror,85,4.4,,936,The story of a therapy group that is forced to confront the monsters of their past when an isolated weekend retreat tests their emotional resilience and ability to survive.
Dead for a Dollar,2022,5.4,Adventure|Drama|Thriller,107,5.4,61,5392,"A famed bounty hunter runs into his sworn enemy, a professional gambler and outlaw that he had sent to prison years before."
Interceptor,2022,4.6,Action|Adventure|Drama,99,4.6,51,26456,One Army captain must use her years of tactical training and military expertise when a simultaneous coordinated attack threatens the remote missile interceptor station she is in command of.
99 Moons,2022,5.1,Drama,110,5.1,,1853,Bigna and Frank are two people of different thoughts. When their different worlds collide they become obsessively entwined in a passionate affair.
Athena,2022,6.8,Action|Drama|Thriller,99,6.8,73,20866,"Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos."
The Artifice Girl,2022,6.6,Mystery|Sci-Fi|Thriller,93,6.6,60,7561,"A team of special agents discovers a revolutionary new computer program to bait and trap online predators. After teaming up with the program's troubled developer, they soon find that the AI is rapidly advancing beyond its original purpose."
R.M.N.,2022,7.3,Drama,125,7.3,81,3960,"A non-judgmental analysis of the driving forces of human behavior when confronted with the unknown, of the way we perceive the other and on how we relate to an unsettling future."
Studio 666,2022,5.7,Comedy|Horror|Music,106,5.7,50,12083,Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album.
I Like Movies,2022,6.8,Comedy|Drama,99,6.8,77,1624,"Lawrence Kweller, a socially inept 17-year old cinephile, gets a job at a video store, where he forms a complicated friendship with his older female manager."
The Estate/II,2022,5.2,Comedy,96,5.2,37,4090,"Two sisters attempt to win over their terminally ill, difficult-to-please Aunt in hopes of becoming the beneficiaries of her wealthy estate, only to find the rest of their greedy family members have the same idea."
The Sea Beast,2022,7,Animation|Adventure|Comedy,115,7,74,54935,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot."
Unwelcome,2022,5.2,Comedy|Horror,104,5.2,64,4776,"Married couple Maya and Jamie escape their urban nightmare to the tranquility of rural Ireland only to discover malevolent and murderous goblins lurking in the gnarled, ancient wood at the foot of their new garden."
Sharp Stick,2022,4.9,Comedy,92,4.9,53,1837,"Sarah Jo is a naive 26-year-old living on the fringes of Hollywood with her mother and sister. She just longs to be seen. When she begins an affair with her older employer, she is thrust into an education on sexuality, loss and power."
Godland,2022,7.2,Drama,143,7.2,81,4619,"At the end of the 19th century, a young Danish priest is sent to a remote part of Iceland. The deeper he travels into the Icelandic landscape, the more he loses a sense of his own reality, his mission and his sense of duty."
Nocebo/II,2022,5.8,Thriller,96,5.8,58,6098,A fashion designer suffers from a mysterious illness that puzzles her doctors and frustrates her husband until help arrives in the form of a Filipino carer who uses traditional folk healing to reveal a horrifying truth.
Lola,2022,6.4,Sci-Fi|War,79,6.4,70,1495,"1940, Thom and Mars have built a machine, LOLA, that can intercept radio and TV broadcasts from the future. Unknown to them sharing these broadcasts the devastating changes it will have on the future of world but to them also."
The Price We Pay,2022,4.9,Action|Horror|Thriller,86,4.9,,3671,"After a pawn shop robbery goes askew, two criminals take refuge at a remote farmhouse to try to let the heat die down, but find something much more menacing."
Gangubai Kathiawadi,2022,7.8,Biography|Crime|Drama,152,7.8,,59558,"Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in."
Something in the Dirt,2022,5.9,Comedy|Horror|Mystery,116,5.9,76,4536,Maverick filmmaking duo Justin Benson and Aaron Moorhead offer up a twisted reflection of our paranoid times in this inventive mix of buddy comedy and sci-fi thriller.
Panama,2022,3.5,Action|Thriller,95,3.5,,3452,"An ex-marine is hired by a defense contractor to travel to Panama to complete an arms deal. In the process he becomes involved with the U.S. invasion of Panama, and learns an important lesson about the true nature of political power."
Broker,2022,7.2,Comedy|Crime|Drama,129,7.2,77,14122,"When a young mother reconsiders abandoning her baby, she discovers a scheme selling foundlings for adoption."
In from the Side,2022,6.7,Drama|Romance|Sport,134,6.7,42,6163,"Following a drunken encounter, two equally attached men from a cash strapped and divided gay rugby club unwittingly sleepwalk into an adulterous affair but must conceal their growing feelings or risk destroying the club they love."
Blue Jean,2022,7,Drama|History,97,7,87,3241,"In 1988, a closeted teacher is pushed to the brink when a new student threatens to expose her sexuality."
Black Crab,2022,5.7,Action|Adventure|Drama,114,5.7,54,24787,"In a post-apocalyptic world, six soldiers on a covert mission must transport a mysterious package across a frozen archipelago. Noomi Rapace stars."
Of an Age,2022,7.1,Drama|Romance,100,7.1,69,3150,"In the summer of 1999, a 17-year-old Serbian-born Australian amateur ballroom dancer experiences an unexpected and intense 24-hour romance with a friend's older brother."
Amerikatsi,2022,8.2,Drama,121,8.2,55,254,"Charlie escapes the Armenian genocide as a boy by fleeing to the United States, but he returns as an adult and is arrested. He watches an Armenian couple from his prison cell, finally learning about his homeland."
Mira,2022,5.8,Adventure|Drama|Sci-Fi,116,5.8,,1011,"A father working on a space station has to save his 15-year-old daughter after a meteorite shower hits Earth, using only satellite phones and cameras."
Hatching,2022,6.2,Drama|Fantasy|Horror,91,6.2,75,13546,"A young gymnast, who tries desperately to please her demanding mother, discovers a strange egg. She hides it and keeps it warm, but when it hatches, what emerges shocks them all."
Accident Man: Hitman's Holiday,2022,5.9,Action|Comedy|Crime,96,5.9,,4308,"The Accident Man, is back and this time he must beat the top assassins in the world, to protect the ungrateful son of a mafia boss, save the life of his only friend and rekindle his relationship with his maniacal father figure."
Entergalactic,2022,7.3,Animation|Comedy|Music,93,7.3,,13779,"Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
Carmen/II,2022,5.9,Drama|Musical,116,5.9,59,810,Benjamin Millepied's complete reimagining of CARMEN tells a story through an experimental dreamscape featuring an original score and songs.
Senior Year,2022,5.5,Comedy|Drama,111,5.5,47,42088,"A cheerleading stunt gone wrong landed her in a 20-year coma. Now she's 37, newly awake and ready to live out her high school dream: becoming prom queen."
Nightmare,2022,5.2,Horror|Thriller,100,5.2,,499,Not all nightmares are over when you wake up.
The Lair,2022,4.6,Action|Horror|Sci-Fi,97,4.6,41,4440,"When Royal Air Force pilot Lt. Kate Sinclair is shot down over Afghanistan, she finds refuge in an abandoned underground bunker where deadly man-made biological weapons - half human, half alien - are awakened."
Prisoner's Daughter,2022,6.3,Drama,100,6.3,48,1375,"A father fights for the love of his daughter and grandson, after serving twelve years in prison."
Rogue Agent,2022,6.4,Drama|Thriller,115,6.4,61,10830,"The extraordinary and chilling story of career conman Robert Freegard who masqueraded as an MI5 agent and fooled people into going into hiding, and the woman who fell for him, and then brought him down."
Satanic Hispanics,2022,5.6,Horror,105,5.6,58,209,"When police raid a house in El Paso, they find it full of dead Latinos, and only one survivor. Known as ""The Traveler,"" he is taken to the police station for questioning. There, he recounts...                See full summary »"
Wendell & Wild,2022,6.4,Animation|Adventure|Comedy,105,6.4,69,11761,"Two scheming demon brothers, Wendell and Wild, enlist the aid of 13-year-old Kat Elliot to summon them to the Land of the Living."
House of Darkness,2022,4.7,Comedy|Horror|Mystery,88,4.7,54,4065,"Hap offers Mina a ride home with ulterior motives, but his night takes a turn when he learns she lives in a creepy American castle...and the shadowy figures in the corridors make it clear that he isn't welcome."
Zombies 3,2022,5.4,Family|Musical|Romance,88,5.4,,3054,"Zed anticipates an athletic scholarship while Addison is gearing up for Seabrook's international cheer-off competition. Then suddenly, extraterrestrial beings appear around Seabrook, causing more than friendly competition."
Lie with Me,2022,7.6,Drama,98,7.6,,938,An author returns to his hometown of Cognac for the first time in 35 years to help promote a distillery. He is also there to face the memories of his first love. The people & places he returns to evoke many feelings from the past.
Me Time,2022,5.1,Comedy,101,5.1,25,38469,"When a stay-at-home dad who dedicates all his time to his children is persuaded to take time off for himself, he gets mixed up in the wild shenanigans of his childhood friend who's celebrating his 44th birthday."
Gold Run,2022,6.7,Drama|Thriller|War,117,6.7,,2212,"He's not the bravest of men, but he's given a great responsibility and an enormous task - to get the whole Norwegian gold reserve away from the Germans during the invasion of Norway during the outbreak of WW2."
One Fine Morning,2022,7,Drama|Romance,112,7,86,5194,"With a father suffering from neurodegenerative disease, a young woman lives with her eight-year-old daughter. While struggling to secure a decent nursing home, she runs into an unavailable friend with whom she embarks on an affair."
I Want You Back,2022,6.5,Comedy|Romance,116,6.5,62,22447,Newly-dumped thirtysomethings Peter and Emma team up to sabotage their exes' new relationships and win them back for good.
Spoiler Alert/II,2022,7.3,Comedy|Drama,112,7.3,61,5719,"The story of Michael Ausiello and Kit Cowan's relationship, which takes a tragic turn when Cowan is diagnosed with terminal cancer."
No Limit,2022,5.8,Drama|Romance|Sport,118,5.8,,3563,Roxana Aubrey decides to drop her studies and escape her life in Paris for a free diving course in the south of France. She is quickly pulled into a life that reaches new depths brought by the weight of an ocean's descent.
Dear Zoe,2022,5.7,Drama,94,5.7,,1172,"When Tess and her family suffer an unimaginable loss, she finds support from a surprising source: her biological father - a lovable slacker from the wrong side of the tracks - and the charming but dangerous juvenile delinquent next door."
About Fate,2022,6.4,Comedy|Romance,103,6.4,,10035,"The romantic comedy is a tale of two people who believe in love, but seem to never be able to find its true meaning. In a wild twist of events, fate puts each in the other's path on a stormy New Year's Eve and comedy and chaos ensue."
Out of the Blue/II,2022,4.4,Crime|Drama|Mystery,104,4.4,39,1102,"Connor, a man whose dull life is transformed into a thrilling fantasy world thanks to the seductive Marilyn."
Grimcutty,2022,4.3,Drama|Horror|Mystery,101,4.3,,6998,A suburban teen girl and her little brother must stop a terrifying internet meme brought to life by the hysteria of their parents.
The Roundup,2022,7,Action|Crime|Thriller,106,7,,8974,"Followed by Ma Seok-do, who heads to a foreign country to extradite a suspect. However, he discovers additional murder cases and learns about a killer who had committed crimes against tourists for many years."
Resurrection,2022,5.9,Crime|Drama|Horror,103,5.9,70,10699,"Margaret's life is in order. She is capable, disciplined and successful. Everything is under control until David returns - that is - carrying with him the horrors of Margaret's past."
Sam & Kate,2022,6.1,Comedy|Drama|Romance,110,6.1,58,1653,A son returns to his small hometown to take care of his ailing father.
Choose or Die,2022,4.8,Drama|Horror|Thriller,84,4.8,43,24653,"After firing up a lost 1980s survival horror game, a young coder unleashes a hidden curse that tears reality apart, forcing her to make terrifying decisions and face deadly consequences."
A Perfect Pairing,2022,6.1,Comedy|Romance,101,6.1,55,15685,It follows a hard-driving LA wine-company executive who travels to an Australian sheep station to land a major client and there she ends up working as a ranch hand and sparking with a rugged local.
The People We Hate at the Wedding,2022,5.8,Comedy,99,5.8,42,10131,Family tensions ramp up among siblings in the week leading up to their half-sister's wedding in the country.
The Friendship Game,2022,3.3,Horror|Sci-Fi,87,3.3,26,1066,A group of teenagers in a small town discover a strange object that tests the strength of their friendship.
Firestarter,2022,4.6,Drama|Horror|Sci-Fi,94,4.6,32,20075,A young girl tries to understand how she mysteriously gained the power to set things on fire with her mind.
Daliland,2022,5.9,Biography|Drama,97,5.9,59,1271,"In 1973, a young gallery assistant goes on a wild adventure behind the scenes as he helps the aging genius Salvador Dali prepare for a big show in New York."
You Can Live Forever,2022,6.9,Drama|Romance,96,6.9,68,2089,"When lesbian teen Jaime is sent to live in a Jehovah's Witness community, she falls hard for a devout Witness girl and the two embark on an intense affair with consequences that will reshape the rest of their lives."
Secret Headquarters,2022,5.2,Action|Adventure|Comedy,104,5.2,47,7150,"While hanging out after school, Charlie and his friends discover the headquarters of the world's most powerful superhero hidden beneath his home. When villains attack, they must team up to defend the headquarters and save the world."
Space Wars: Quest for the Deepstar,2022,3.7,Action|Adventure|Sci-Fi,90,3.7,,404,"Life is an adventure for space scavengers Kip Corman and his daughter Taylor as they navigate their ship through a universe filled with monsters, aliens, and robots in order to reach the mythical Deepstar and collect the riches within."
Return to Seoul,2022,7,Drama,119,7,87,5691,"A twenty-five-year-old French woman returns to Korea, the country she was born in before being adopted by a French couple, for the very first time. She decides to track down her biological parents, but her journey takes a surprising turn."
Bardo: False Chronicle of a Handful of Truths,2022,6.7,Comedy|Drama,159,6.7,55,14089,"An acclaimed journalist-turned-documentarian goes on an oneiric introspective journey to reconcile with the past, the present and his Mexican identity."
Crush/I,2022,6.3,Comedy|Romance,93,6.3,56,8771,An aspiring young artist joins her high school track team and later discovers what real love feels like when she finds herself falling for an unexpected teammate.
The In Between,2022,5.9,Drama|Romance|Sci-Fi,115,5.9,,9546,"After surviving a car accident that took the life of her boyfriend, a teenage girl believes he's attempting to reconnect with her from the after world."
The Origin,2022,6.3,Horror|Thriller,87,6.3,,108,"In the Old Stone Age, a disparate gang of early humans band together in search of a new land. But when they suspect a malevolent, mystical, being is hunting them down, the clan are forced to confront a danger they never envisaged."
R.I.P.D. 2: Rise of the Damned,2022,4.6,Action|Adventure|Comedy,102,4.6,,4898,"Recruited by the R.I.P.D., a resurrected sheriff returns to Earth to save humanity from a gateway to hell."
Vikram Vedha,2022,7.1,Action|Crime|Drama,160,7.1,,22746,A tough police officer sets out to track down and kill an equally tough gangster.
The Witch: Part 2 - The Other One,2022,6.2,Action|Mystery|Thriller,137,6.2,,5631,"A girl wakes up in a secret laboratory and meets Kyung-hee, who is trying to protect her from a gang. When the gang finally finds the girl, they are overwhelmed by an unexpected power."
My Son Hunter,2022,4.6,Biography|Comedy|Drama,95,4.6,,4213,"Fictional retelling of the lifestyle and scandals of Hunter Biden, son of US President Joe Biden."
Not Okay,2022,6.1,Comedy|Drama,100,6.1,62,17745,"An ambitious young woman finds followers and fame when she poses as the survivor of a deadly attack, but she soon learns that online notoriety comes with a terrible price."
88,2022,5,Drama|Mystery|Thriller,122,5,44,209,The Financial Director for a democratic super PAC behind a frontrunner presidential candidate investigates donations uncovering a conspiracy.
Exploited,2022,4.2,Horror|Thriller,81,4.2,,919,A college freshman becomes obsessed with the previous owner of his school issued laptop.
Catherine Called Birdy,2022,6.6,Adventure,108,6.6,74,7406,A 14 year old girl in medieval England navigates through life and avoiding potential suitors her father has in mind.
Joyland,2022,7.6,Drama,126,7.6,82,4744,The youngest son in a traditional Pakistani family takes a job as a backup dancer in a Bollywood-style burlesque and quickly becomes infatuated with the strong-willed trans woman who runs the show.
"My Sailor, My Love",2022,7.1,Drama,103,7.1,61,556,A retired sea captain and his daughter must reassess their strained relationship after he begins a new romance with a widowed housekeeper.
Gold/I,2022,5.4,Action|Adventure|Thriller,97,5.4,48,11596,"In the not too distant future, a drifter travelling through the desert discovers the largest gold nugget ever found. He must guard it from thieves amid harsh conditions and wild dogs while waiting for his partner to return."
Spirit Halloween,2022,4.5,Adventure|Family|Fantasy,87,4.5,48,1081,"When a Halloween store opens in a deserted strip-mall, three friends, thinking they've outgrown trick or treating, decide to spend the night locked inside. But their night of spook-filled fun soon turns to outlandish survival."
Hunt,2022,6.7,Action|Drama|Mystery,131,6.7,55,4648,The International Unit and The Domestic Unit of the Korean Spy Agency are tasked with the mission of uncovering a North Korean Spy known as Donglim who is deeply embedded within their agency.
Filip,2022,7,Drama|History|War,125,7,,1240,"In 1943, a Polish Jew, who managed to escape from the Warsaw ghetto, is waiting restaurant tables in Frankfurt while pretending to be French and taking revenge on the Nazis in his own unique way."
Showing Up,2022,6.4,Comedy|Drama,107,6.4,85,2964,A sculptor preparing to open a new show tries to work amidst the daily dramas of family and friends.
Leila's Brothers,2022,7.9,Drama,165,7.9,87,11591,"Leila, who has spent her entire life caring for her family, makes a plan as her brothers are struggling to make ends meet."
Look Both Ways,2022,6.3,Comedy|Drama|Romance,110,6.3,49,22758,"On the eve of her college graduation, Natalie's life diverges into parallel realities: one in which she becomes pregnant and remains in her hometown to raise her child and another in which she moves to LA to pursue her dream career."
The Man in Room 6,2022,5.1,Fantasy|Horror,152,5.1,,76,"Carrie (Jackie Kelly) is a socially-troubled young woman trying to mend a strained relationship with her mother. After her grandfather dies in a nursing home, Carrie finds herself attracted...                See full summary »"
Stars at Noon,2022,5.5,Drama|Romance|Thriller,135,5.5,64,3146,"A young American journalist stranded in present-day Nicaragua falls for an enigmatic Englishman who seems like her best chance of escape. She soon realizes, however, that he may be in even greater danger than she is."
The Kashmir Files,2022,8.6,Drama,170,8.6,,571698,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth."
On the Come Up,2022,5.7,Comedy|Drama|Music,116,5.7,52,680,"Story centers on 16-year-old Bri, who wants to be one of the greatest rappers of all time. Facing controversies and with an eviction notice staring down her family, Bri doesn't just want to make it, she has to make it."
Survive,2022,4.5,Adventure|Drama|Thriller,108,4.5,,992,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness."
13 Exorcisms,2022,4.4,Horror|Thriller,100,4.4,,568,"After the strange behavior displayed by teenager Laura Villegas, her parents calls a Vatican-sanctioned exorcist to intervene in the case of demonic possession. From then on, a series of strange phenomena will disturb the family."
The King's Daughter,2022,5.2,Action|Adventure|Family,98,5.2,31,5535,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature."
Angry Neighbors,2022,4.2,Comedy,89,4.2,,782,A grumpy novelist vows revenge when his wealthy neighbor builds a hideous mega-mansion next door.
Marry My Dead Body,2022,7.1,Action|Comedy|Crime,130,7.1,,3724,"One day a police officer finds a red wedding envelope, only to find out that the owner is in fact a ghost asking for the officer's hand in marriage before reincarnation. What will happen when a human and a ghost form a special bond?"
World War III,2022,7.1,Adventure|Crime|Drama,117,7.1,,2649,"After being cast in a movie, a day laborer has to secretly shelter his lover on the set or else risk losing her and all that movie stardom has promised him."
Kimi,2022,6.3,Crime|Drama|Thriller,89,6.3,79,37156,An agoraphobic Seattle tech worker uncovers evidence of a crime.
The Mistress/II,2022,4.2,Horror|Thriller,106,4.2,,500,Newlyweds move into their dream home where they discover a collection of 100-year-old letters from a young woman who committed suicide after being abandoned by the owner of the home.
EO,2022,6.8,Drama,88,6.8,85,12529,"Follows a donkey who encounters on his journeys good and bad people, experiences joy and pain, exploring a vision of modern Europe through his eyes."
"Monica, O My Darling",2022,7.4,Comedy|Crime|Drama,129,7.4,,19782,"A slick robotics expert joins a murderous plot after a passionate affair takes a sudden turn, but nothing not even death , is what it seems to be."
Venus/I,2022,5.5,Horror,100,5.5,,3071,Horror invades the concrete corridors of a cursed apartment complex on the outskirts of Madrid.
Kompromat,2022,6.3,Drama|Thriller,127,6.3,60,2179,A French diplomat must escape an FSB plot in Siberia.
Mad Heidi,2022,5.5,Action|Adventure|Comedy,92,5.5,,3357,Swiss mountain girl Heidi is abducted by brutal government troops and must defend herself and fight a war against a cheese-fueled machinery of hate.
Linoleum,2022,6.5,Comedy|Drama|Sci-Fi,101,6.5,80,2550,"When the host of a failing children's science show endeavors to achieve his childhood dream of becoming an astronaut by constructing a rocket ship in his garage, a series of bizarre events occur that cause him to question his own reality."
The Chalk Line,2022,6.1,Horror|Mystery|Thriller,106,6.1,,9115,A couple temporarily adopts a young girl that they found wandering around alone in the high road.
Windfall,2022,5.7,Crime|Drama|Thriller,92,5.7,52,25792,"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway."
Dual,2022,5.8,Comedy|Drama|Sci-Fi,94,5.8,62,11228,"A woman opts for a cloning procedure after she receives a terminal diagnosis but when she recovers her attempts to have her clone decommissioned fail, leading to a court-mandated duel to the death."
Beaten to Death,2022,4.8,Horror,93,4.8,,168,"A desperate choice leads Jack down a path that leaves him beaten and bruised as he struggles against man, nature, and his own insanity."
Sissy/I,2022,6.1,Comedy|Drama|Horror,102,6.1,67,6608,"Teen best friends Cecilia and Emma, run into each other after a decade. Cecilia is invited to Emma's bachelorette weekend where she gets stuck in a remote cabin with her high school bully and a taste for revenge."
All the Old Knives,2022,6.1,Mystery|Thriller,101,6.1,62,26677,Veteran CIA agent Henry is reunited in Vienna with his former colleague and lover Celia.
Project Wolf Hunting,2022,6.1,Action|Crime|Horror,122,6.1,53,5693,"Follows dangerous criminals on a cargo ship who are transported from the Philippines to South Korea, as they unleash a sinister force after an escape attempt leads to a riot."
Sniper: Rogue Mission,2022,4.5,Action|Thriller,96,4.5,,1404,"When a crooked federal agent is involved in a human sex trafficking ring, Sniper and CIA Rookie Brandon Beckett goes rogue, teaming up with his former allies Homeland Security Agent Zero ...                See full summary »"
Aberrance,2022,8,Crime|Drama|Horror,75,8,,57,"An estranged couple takes a retreat in the woods. Foreboding neighbors, frivolous friends, and dark unseen forces lead to a shocking conclusion."
Fire Island/I,2022,6.7,Comedy|Romance,105,6.7,72,12714,"A group of queer best friends gather in Fire Island Pines for their annual week of love and laughter, but a sudden change of events might make this their last summer in gay paradise."
The Eternal Daughter,2022,6,Drama|Mystery,96,6,80,4782,"Returning to a hotel now haunted by its mysterious past, an artist and her elderly mother confront long-buried secrets in their former family home."
Horseplay,2022,5.5,Comedy|Drama,102,5.5,,615,A group of young men at a gathering in a luxury villa test each other's boundaries.
The Noel Diary,2022,6.1,Comedy|Drama|Romance,99,6.1,63,16765,"The story of a man who returns home on Christmas to settle his estranged mother's estate. Once there, he discovers a diary that may hold secrets to his own past and of a beautiful young woman on a mysterious journey of her own."
She Came from the Woods,2022,4.5,Horror,101,4.5,,856,"In 1987, a group of counselors accidentally unleashes a decades' old evil on the last night of summer camp."
Mortal Kombat Legends: Snow Blind,2022,6.6,Animation|Action|Adventure,82,6.6,,3004,"As Kano and the Black Dragon wreak havoc around the globe, a young warrior named Kenshi will have to rise above his own limitations and take on the looming threat of Outworld."
Enys Men,2022,5.7,Fantasy|Horror|Mystery,96,5.7,78,2542,"Set in 1973 on an uninhabited island off the Cornish coast, a wildlife volunteer's daily observations of a rare flower turn into a metaphysical journey that forces her as well as the viewer to question what is real and what is a nightmare."
They/Them,2022,3.9,Horror|Mystery|Thriller,104,3.9,46,10196,A group of teenagers at an LGBTQ+ conversion camp endures unsettling psychological techniques while being stalked by a mysterious masked killer.
V/H/S/99,2022,5.1,Horror,109,5.1,58,6660,"Witness a hellish vision of 1999, as social isolation, analog technology and disturbing home videos fuse into a nightmare of found footage savagery."
Rise/II,2022,7,Biography|Drama|Sport,113,7,74,7796,Based on the real life story about the family that produced the first trio of brothers to become NBA champions in the history of the league.
The Outwaters,2022,4.1,Horror|Sci-Fi|Thriller,110,4.1,72,3503,Four travelers encounter menacing phenomena while camping in a remote stretch of the Mojave Desert.
Gone in the Night,2022,4.9,Mystery|Thriller,90,4.9,52,5071,"When Kath and her boyfriend arrive at a remote cabin in the redwoods, they find a mysterious younger couple already there. Her boyfriend disappears with the young woman, and Kath becomes obsessed with finding an explanation."
Biosphere,2022,5.5,Comedy|Drama|Fantasy,106,5.5,59,1433,"In the not-too-distant future, the last two men on earth must adapt and evolve to save humanity."
"Argentina, 1985",2022,7.6,Biography|Crime|Drama,140,7.6,78,28437,A team of lawyers takes on the heads of Argentina's bloody military dictatorship during the 1980s in a battle against odds and a race against time.
The Amazing Maurice,2022,6.2,Animation|Adventure|Comedy,93,6.2,53,4753,A streetwise cat and his gang of rats come up with the perfect money making scheme.
Brother/I,2022,6.9,Drama|Music,119,6.9,70,773,"Sons of Caribbean immigrants, Francis and Michael face questions of masculinity, identity and family amid the pulsing beat of Toronto's early hip-hop scene."
Am I OK?,2022,6.8,Comedy|Drama|Romance,86,6.8,74,434,"Lucy and Jane have been best friends their entire lives. Only when Lucy embarks on a personal journey, will she face a test of her friendship, and her sense of self, on a path she may not be entirely ready to take."
Rebel,2022,7.5,Action|Drama|Thriller,135,7.5,,1596,A portrayal of a family torn apart over a little Muslim boy's future.
Game of Love,2022,3.1,Drama|Romance,91,3.1,,1647,Vivien accompanies her partner Roy to his childhood home to prepare for the sale of the family estate. Their relationship is put into jeopardy when secrets from Roy's past are revealed.
Cheaper by the Dozen,2022,4.6,Comedy|Family,107,4.6,42,6632,"The raucous exploits of a blended family of 12, the Bakers, as they navigate a hectic home life while simultaneously managing their family business."
Falcon Lake,2022,7.2,Drama|Fantasy|Romance,100,7.2,71,1621,A shy teenager on a summer vacation experiences the joy and pain of young adulthood when he forges an unlikely bond with an older girl.
Selina's Gold,2022,6.3,Drama,113,6.3,,1075,"Selina's father sells her to Tiago who makes her a sex slave. With the help of Domeng, Tiago's blind slave, she plans their way out of this living hell."
Good Mourning/I,2022,3.1,Comedy,93,3.1,,2307,"Follows London Clash, a movie star whose world is turned upside down when he must choose between pursuing his one true love and landing a life-changing, starring role in a major motion picture."
The Infernal Machine,2022,5.4,Mystery|Thriller,111,5.4,,3355,A reclusive and controversial author is drawn out of hiding when he begins to receive endless letters from an obsessive fan. What ensues is a dangerous labyrinth as he searches for the person behind the cryptic messages.
How to Please a Woman,2022,6.2,Drama,111,6.2,54,1523,"When her all-male house-cleaning business gets out of control, a mature woman must embrace her own sexuality, if she is to make a new life for herself."
The Night of the 12th,2022,7,Crime|Drama|Mystery,115,7,81,7394,"It is said that every investigator has a crime that haunts them, a case that hurts him more than the others, without him necessarily knowing why. For Yohan that case is the murder of Clara."
Hellhole,2022,5.8,Horror|Mystery,91,5.8,,7053,"In 1987 Poland, a police officer investigating mysterious disappearances infiltrates a remote monastery and discovers a dark truth about its clergy."
That's Amor,2022,5.3,Comedy|Romance,96,5.3,,3642,"After her job and relationship implode on the same day, Sofia starts from scratch and meets a dashing Spanish chef who might be her missing ingredient."
Savage Salvation,2022,4.7,Action|Thriller,101,4.7,,2062,A recovering opioid addict seeks revenge on the dealers responsible for selling the drugs that resulted in his fiancee's death.
Against the Ice,2022,6.5,Adventure|Drama|History,102,6.5,49,26647,"In 1909, two explorers fight to survive after they're left behind while on a Denmark expedition in ice-covered Greenland."
Paradise Highway,2022,5.7,Drama|Thriller,115,5.7,48,5861,"A truck driver has been forced to smuggle illicit cargo to save her brother from a deadly prison gang. With FBI operatives hot on her trail, Sally's conscience is challenged when the final package turns out to be a teenage girl."
K.G.F: Chapter 2,2022,8.3,Action|Crime|Drama,168,8.3,,143170,"In the blood-soaked Kolar Gold Fields, Rocky's name strikes fear into his foes. While his allies look up to him, the government sees him as a threat to law and order. Rocky must battle threats from all sides for unchallenged supremacy."
The Princess/I,2022,5.7,Action|Drama|Fantasy,94,5.7,43,14903,"When a strong-willed princess refuses to wed the cruel sociopath, she is kidnapped and locked in a remote tower of her father’s castle. With her vindictive suitor intent on taking her father’s throne, the princess must save the kingdom."
Pinball: The Man Who Saved the Game,2022,6.9,Biography|Comedy|Drama,95,6.9,64,2972,"The story of Roger Sharpe, the young midwesterner who overturned New York City's 35 year-old ban on pinball machines."
What Comes Around,2022,5.2,Drama|Thriller,85,5.2,,712,"In this immersive thriller directed by Amy Redford, a young love affair becomes a menacing game of cat and mouse. Nothing and no one are as they seem."
Chup,2022,7.6,Crime|Drama|Mystery,135,7.6,,24240,A crime thriller in which police are on the hunt for a killer who is targeting film critics.
Paws of Fury: The Legend of Hank,2022,5.7,Animation|Action|Comedy,98,5.7,45,5945,"Hank, a loveable dog with a head full of dreams about becoming a samurai, sets off in search of his destiny."
Umma,2022,4.7,Drama|Horror|Mystery,83,4.7,51,9242,"Amanda and her daughter live a quiet life on an American farm, but when the remains of her estranged mother arrive from Korea, Amanda becomes haunted by the fear of turning into her own mother."
Bhediya,2022,6.8,Comedy|Fantasy|Horror,156,6.8,,23180,"Set in the forests of Arunachal, Bhediya is a story of Bhaskar, a man who gets bitten by a wolf, and begins to transform into the creature. As Bhaskar and his buddies try to find answers, a bunch of twists, turns, and laughs ensue."
